id,name,screenshot_urls
3439,Life is Strange,"[""https://media.rawg.io/media/games/562/562553814dd54e001a541e4ee83a591c.jpg"", ""https://media.rawg.io/media/screenshots/edf/edfcbdf85f02f871263dabf1b4f0aa87.jpg"", ""https://media.rawg.io/media/screenshots/4c6/4c6da2f36396d4ed51f82ba6159fa39b.jpg"", ""https://media.rawg.io/media/screenshots/6aa/6aa56ef1485c8b287a913fa842883daa.jpg"", ""https://media.rawg.io/media/screenshots/cb1/cb148b52fe857f5b0b83ae9c01f56d8e.jpg""]"
4286,BioShock,"[""https://media.rawg.io/media/games/bc0/bc06a29ceac58652b684deefe7d56099.jpg"", ""https://media.rawg.io/media/screenshots/01f/01f62d7064838a5c3202acfc61503487.jpg"", ""https://media.rawg.io/media/screenshots/7f5/7f517e07e36e4af5a7c0b86a7d42853f.jpg"", ""https://media.rawg.io/media/screenshots/aca/aca089b963a42ec4cbf56b5e5334af8e.jpg"", ""https://media.rawg.io/media/screenshots/3aa/3aa6f71eba1d64e671bd45826ca96560.jpg""]"
32,Destiny 2,"[""https://media.rawg.io/media/games/34b/34b1f1850a1c06fd971bc6ab3ac0ce0e.jpg"", ""https://media.rawg.io/media/screenshots/818/818cc34134cb22fb18fda8edec7144a3.jpg"", ""https://media.rawg.io/media/screenshots/003/003a559bc0b47a4e5f2928f18a8d9142.jpg"", ""https://media.rawg.io/media/screenshots/75d/75d8fbb3254f5b06f1a3f9a026d9c122.jpg"", ""https://media.rawg.io/media/screenshots/ca3/ca3bdc1a51fc90a96c860ab6db8a313c.jpg""]"
58175,God of War (2018),"[""https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg"", ""https://media.rawg.io/media/screenshots/d68/d6868e5f7bce66e326bd48b11ba24b13.jpeg"", ""https://media.rawg.io/media/screenshots/928/928cdaf4ae204f202d177bbd65e911b3.jpeg"", ""https://media.rawg.io/media/screenshots/a54/a549a06ebe89c570cabb57308c4c42a5.jpeg"", ""https://media.rawg.io/media/screenshots/f02/f0279f8199da3e91134078e737e5fbcf.jpg""]"
3070,Fallout 4,"[""https://media.rawg.io/media/games/d82/d82990b9c67ba0d2d09d4e6fa88885a7.jpg"", ""https://media.rawg.io/media/screenshots/f55/f5598897e0e418c67521f2213dceb459.jpg"", ""https://media.rawg.io/media/screenshots/37c/37ce90b25d84e531743917165115d24c.jpg"", ""https://media.rawg.io/media/screenshots/fd3/fd3a97519e6d1b73f429f6bfcfb3bcf5.jpg"", ""https://media.rawg.io/media/screenshots/069/0691b4c1b839e55531d8c3206cd83dd7.jpg""]"
3939,PAYDAY 2,"[""https://media.rawg.io/media/games/73e/73eecb8909e0c39fb246f457b5d6cbbe.jpg"", ""https://media.rawg.io/media/screenshots/c38/c38f5aa479eebab20cedcdae370e6e18.jpg"", ""https://media.rawg.io/media/screenshots/442/442be5656b314e3289ecd1486b5282f1.jpg"", ""https://media.rawg.io/media/screenshots/c2c/c2ccfeaeda357f932d1899a91f298850.jpg"", ""https://media.rawg.io/media/screenshots/a18/a18da938def6ce6e5b571f1c20272ab0.jpg""]"
1030,Limbo,"[""https://media.rawg.io/media/games/942/9424d6bb763dc38d9378b488603c87fa.jpg"", ""https://media.rawg.io/media/screenshots/512/512f4bc2092016478ddcb9e7e60aeec0.jpg"", ""https://media.rawg.io/media/screenshots/63d/63d30699e8fcab9c808e6714d9d3fd59.jpg"", ""https://media.rawg.io/media/screenshots/de0/de04bbc0fd9904071ef25bf23113c8c4.jpg"", ""https://media.rawg.io/media/screenshots/eed/eedbbca4ae2debf2d4e23e55d1f6cff7.jpg""]"
11859,Team Fortress 2,"[""https://media.rawg.io/media/games/46d/46d98e6910fbc0706e2948a7cc9b10c5.jpg"", ""https://media.rawg.io/media/screenshots/596/5968ba06bac8bee0ec7e9d03c970c421.jpg"", ""https://media.rawg.io/media/screenshots/94f/94f4eb0b3d1fde7a37ec84f0f66f7f87.jpg"", ""https://media.rawg.io/media/screenshots/a0a/a0ad82cad18d0a2466d1d5f12bf8858c.jpg"", ""https://media.rawg.io/media/screenshots/a83/a83038d2ec296522ab1b9ab0521b1ec3.jpg""]"
2454,DOOM (2016),"[""https://media.rawg.io/media/games/587/587588c64afbff80e6f444eb2e46f9da.jpg"", ""https://media.rawg.io/media/screenshots/353/353c1e834e7da7d6ceaa6beaff529c29.jpg"", ""https://media.rawg.io/media/screenshots/e50/e50f822107b8cc6af57aa21d76524149.jpg"", ""https://media.rawg.io/media/screenshots/ae9/ae9e9f7bfe19c63bd16151f81f81a7ed.jpg"", ""https://media.rawg.io/media/screenshots/14e/14e33eccb109558b0524761340ff2023.jpg""]"
41494,Cyberpunk 2077,"[""https://media.rawg.io/media/games/26d/26d4437715bee60138dab4a7c8c59c92.jpg"", ""https://media.rawg.io/media/screenshots/814/814c25d6fd1fd34a4e6dade645a3bda7.jpg"", ""https://media.rawg.io/media/screenshots/2ab/2ab0b67e68b6ede6b19d80094b6f7f2a_qTSfS2g.jpg"", ""https://media.rawg.io/media/screenshots/cd2/cd22af9d6ac593440defac6082760e4a.jpg"", ""https://media.rawg.io/media/screenshots/9b5/9b51535beb9d9e416cb9aac874091334.jpg""]"
422,Terraria,"[""https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg"", ""https://media.rawg.io/media/screenshots/3af/3afd69426804e7162edbe03cd9f8d0f4.jpg"", ""https://media.rawg.io/media/screenshots/48c/48c7e3e1268467b91b24c7da7c6539df.jpg"", ""https://media.rawg.io/media/screenshots/84b/84b447d4df99d42ffe479c7feb438171.jpg"", ""https://media.rawg.io/media/screenshots/de0/de053efd6104719567d23fb0dad58b92.jpg""]"
10213,Dota 2,"[""https://media.rawg.io/media/games/6fc/6fcf4cd3b17c288821388e6085bb0fc9.jpg"", ""https://media.rawg.io/media/screenshots/cef/cefd0f45c88be2d6e2ff7eed94c16cf3.jpg"", ""https://media.rawg.io/media/screenshots/e2a/e2a1a6c8b07bcdb91d7c6050b16854c5.jpg"", ""https://media.rawg.io/media/screenshots/55e/55e2c2ff16229eef87cfd8728ca537ac.jpg"", ""https://media.rawg.io/media/screenshots/601/601ceb08d04da42f4de5d8b9016f31a6.jpg""]"
766,Warframe,"[""https://media.rawg.io/media/games/f87/f87457e8347484033cb34cde6101d08d.jpg"", ""https://media.rawg.io/media/screenshots/2e1/2e15c9f4cca692ebca67b7652e559f6d.jpg"", ""https://media.rawg.io/media/screenshots/70d/70de629465e39f8108aa533df9cff554.jpg"", ""https://media.rawg.io/media/screenshots/b3a/b3a368123558e7f4010e8b68518d6412.jpg"", ""https://media.rawg.io/media/screenshots/fd2/fd2225327c9dca60c9acea0edca8c5fc.jpg""]"
