id,name,slug,games_count,image_background
229,3D Platformer,3d-platformer,11825,https://media.rawg.io/media/screenshots/0fb/0fbd117f2417089f4527eeb05f7dca87.jpg
113,Side Scroller,side-scroller,11577,https://media.rawg.io/media/games/39a/39a8aa7798b685f9625e857bc394259d.jpg
406,Story,story,11520,https://media.rawg.io/media/games/6fd/6fd971ffa72faa1758960d25ef6196bc.jpg
157,PvP,pvp,11484,https://media.rawg.io/media/games/998/9980c4296f311d8bcc5b451ca51e4fe1.jpg
2595,click,click,11239,https://media.rawg.io/media/screenshots/f68/f68b50c69364afcd040c336b68126a3a.jpg
63,Zombies,zombies,11031,https://media.rawg.io/media/games/476/476178ef18ab0534771d099f51cdc694.jpg
82,Magic,magic,10964,https://media.rawg.io/media/games/ccf/ccf26f6e3d553a04f0033a8107a521b8.jpg
218,Multiple Endings,multiple-endings,10957,https://media.rawg.io/media/games/6d3/6d33014a4ed48a19c30a77ead5a0f62e.jpg
803,Top down shooter,top-down-shooter-2,10815,https://media.rawg.io/media/screenshots/7fb/7fbbe0182a6224de908c4df1da79b1e2.jpg
131,Fast-Paced,fast-paced,10761,https://media.rawg.io/media/games/9a1/9a18c226cf379272c698f26d2b79b3da.jpg
652,8-Bit,8-bit,10741,https://media.rawg.io/media/screenshots/d2e/d2e117a863a87367d2589a7b0d6d4854_hFYCmjZ.jpg
981,battle,battle,10691,https://media.rawg.io/media/games/2ee/2eeed8524931b4fae1e4a40d0e5443b5.jpg
310,Runner,runner,10466,https://media.rawg.io/media/screenshots/ba4/ba447d6bf41e1a638f850f2149eaaa6c.jpg
1,Survival,survival,10413,https://media.rawg.io/media/games/d7d/d7d33daa1892e2468cd0263d5dfc957e.jpg
57,Bullet Hell,bullet-hell,10377,https://media.rawg.io/media/screenshots/112/112c9ecfe850e318bb999660361782bb.jpeg
2075,sound,sound,10369,https://media.rawg.io/media/screenshots/b18/b18c2f84bfc857ea5055dbba7d6600c1.jpg
107,Family Friendly,family-friendly,10013,https://media.rawg.io/media/games/cfe/cfe114c081281960bd79ace5209c0a4a.jpg
3117,shoot,shoot,9954,https://media.rawg.io/media/games/dae/dae784f2c320b6508f7feef0823509ff.jpg
70,War,war,9942,https://media.rawg.io/media/games/0fa/0fadc446fd1e9ae9e23a32793d9a5406.jpg
1129,art,art,9863,https://media.rawg.io/media/screenshots/800/800c59bb908eb13c696dc7a46f59c148.jpg
220,Experimental,experimental,9690,https://media.rawg.io/media/screenshots/e0b/e0b7df921a951ec97fa4d7c595dac410.jpg
624,Monsters,monsters,9640,https://media.rawg.io/media/games/974/974d08635981db7677630327ce1fe4bb.jpg
17,Survival Horror,survival-horror,9621,https://media.rawg.io/media/games/806/8060a7663364ac23e15480728938d6f3.jpg
83,Puzzle-Platformer,puzzle-platformer,9498,https://media.rawg.io/media/games/a92/a92272ea5cfc35b8ad6317fbd81ce0f6.jpg
246,Clicker,clicker,9476,https://media.rawg.io/media/screenshots/073/0737def014367b4fc3e566cdb9439642.jpg
217,Romance,romance,9448,https://media.rawg.io/media/screenshots/10a/10a6168ea3d6ad2c14f5c218477a990b.jpeg
166,Stylized,stylized,9415,https://media.rawg.io/media/games/49c/49c3dfa4ce2f6f140cc4825868e858cb.jpg
604,simple,simple,9293,https://media.rawg.io/media/screenshots/a22/a22898199b1049569d84e6549dbcf103.jpg
1709,work,work,9280,https://media.rawg.io/media/games/d47/d479582ed0a46496ad34f65c7099d7e5.jpg
2030,city,city,9275,https://media.rawg.io/media/games/1c6/1c61ef4ce04bce876841118580b03ccb.jpg
79,Free to Play,free-to-play,9255,https://media.rawg.io/media/games/d2c/d2c74dacd89fd817c2deb625b01adb1a.jpg
90,Visual Novel,visual-novel,9242,https://media.rawg.io/media/games/67a/67aef58e8ead90609f7adbd20d72a033.jpg
583,Narrative,narrative,9087,https://media.rawg.io/media/games/391/391954934d459b8fe78d87a8a68c71c6.jpg
305,Linear,linear,8986,https://media.rawg.io/media/games/e9c/e9c042d14515eb3ff7cb4db9fe78e435.jpg
67,Management,management,8967,https://media.rawg.io/media/games/6cc/6cc68fa183b905ac9d85efb9797776f6.jpg
36,Open World,open-world,8897,https://media.rawg.io/media/games/9aa/9aa42d16d425fa6f179fc9dc2f763647.jpg
808,character,character,8877,https://media.rawg.io/media/games/cdd/cdd4b6cf03ac7ebf7460b0d82f9aaa09.jpg
1867,puzzles,puzzles,8870,https://media.rawg.io/media/screenshots/1ef/1ef455141543c9e27ef0856a68a52b48.jpg
258,Hand-drawn,hand-drawn,8828,https://media.rawg.io/media/games/b6b/b6b20bfc4b34e312dbc8aac53c95a348.jpg
49959,2D Platformer,2d-platformer-3,8818,https://media.rawg.io/media/screenshots/e79/e798477413a08e16369dc064dc55524b.jpg
49995,2D-платформер,2d-platformer-4,8773,https://media.rawg.io/media/games/57b/57beb9f7e99306671ce02b51f79680f5.jpg
662,RPG Maker,rpg-maker,8754,https://media.rawg.io/media/screenshots/d7f/d7f630befee17f8d263a5d5396839c5a.jpg
197,Robots,robots,8737,https://media.rawg.io/media/games/b74/b74b15a48ac7bc37fbb42ee4afcc0b91.jpg
196,Procedural Generation,procedural-generation,8685,https://media.rawg.io/media/games/926/926928beb8a9f9b31cf202965aa4cbbc.jpg
91,Walking Simulator,walking-simulator,8542,https://media.rawg.io/media/games/efd/efd6b2cb621c41a2b6580d8ac260b8ba.jpg
1150,godot,godot,8507,https://media.rawg.io/media/screenshots/c36/c362675e3e48b5ea3b6c3f7019067d88.jpg
77,Realistic,realistic,8487,https://media.rawg.io/media/games/25c/25c4776ab5723d5d735d8bf617ca12d9.jpg
97,Action RPG,action-rpg,8368,https://media.rawg.io/media/games/995/9951d9d55323d08967640f7b9ab3e342.jpg
44,Nudity,nudity,8285,https://media.rawg.io/media/games/15c/15c95a4915f88a3e89c821526afe05fc.jpg
37,Sandbox,sandbox,8170,https://media.rawg.io/media/games/849/849414b978db37d4563ff9e4b0d3a787.jpg
50,Sexual Content,sexual-content,8169,https://media.rawg.io/media/games/26d/26d4437715bee60138dab4a7c8c59c92.jpg
640,Roguelite,roguelite,8147,https://media.rawg.io/media/screenshots/f7b/f7be8b51b1f9d94ddeac27f7b7229440.jpg
40850,Steam Leaderboards,steam-leaderboards,8135,https://media.rawg.io/media/games/a44/a444a7628bdb49b24d06a7672f805814.jpg
3758,speed,speed,8091,https://media.rawg.io/media/games/b6b/b6b3811ed0d2488c20d027e9f53d5b8f.jpg
1743,collect,collect,8080,https://media.rawg.io/media/games/c93/c93309893552f4b118a58819e9a73050.jpg
164,Cartoony,cartoony,8078,https://media.rawg.io/media/games/be0/be084b850302abe81675bc4ffc08a0d0.jpg
591,Unreal Engine,unreal-engine,8003,https://media.rawg.io/media/screenshots/100/1004a4ff78e374e6355b855965dbea3b.jpg
260,GameMaker,gamemaker,7978,https://media.rawg.io/media/screenshots/9a0/9a0e8a4379d465ac6c17a599456b5374.jpg
1529,fight,fight,7915,https://media.rawg.io/media/games/0e7/0e7582dda5530d5b95f877dfad57e6ba.jpg
65,Tower Defense,tower-defense,7895,https://media.rawg.io/media/games/a0c/a0cb0ac048c75b41d2620d2e6cb6f983.jpg
1994,tap,tap,7836,https://media.rawg.io/media/screenshots/525/525b5da62342fa726bfe2820e8f93c09.jpg
198,Split Screen,split-screen,7769,https://media.rawg.io/media/screenshots/c97/c97b943741f5fbc936fe054d9d58851d.jpg
48,Dungeon Crawler,dungeon-crawler,7760,https://media.rawg.io/media/screenshots/d68/d684c5ec81b8ea46bfd4b5c3bae4007f.jpg
